Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Avg_Wolf_Density,Timepoint,Period,Season,A_C_Code,A_Code,Avail_Season,Num_Avail_Points,C_Code,n_C_Points,Study_Code,Area_Code,n_Prey_Species,Pop_Scale
,Atwood 2007,Northern Madison Range,680,Elk,Cervus elaphus,Cervus elaphus,2416,,,3.552941176,,,240,,,,,,,96,67,,0.7,,,,Wild,,,,,1,"2003-2005, January-May",MWI,P-3-3,AS,MWI,3,SNOW,3,ATD07NMS,NMS,4,PACK
,Atwood 2007,Northern Madison Range,680,Mule deer,Odocoileus hemionus,Odocoileus hemionus,425,,,0.625,,,83.8,,,,,,,96,4,,0.04,,,,Wild,,,,,1,"2003-2005, January-May",MWI,P-3-3,AS,MWI,3,SNOW,3,ATD07NMS,NMS,4,PACK
,Atwood 2007,Northern Madison Range,680,White tailed deer,Odocoileus virginianus,Odocoileus virginianus,550,,,0.8088235294,,,75,,,,,,,96,25,,0.26,,,,Wild,,,,,1,"2003-2005, January-May",MWI,P-3-3,AS,MWI,3,SNOW,3,ATD07NMS,NMS,4,PACK
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,663,,,2.138709677,,,240,,,,,,,15,15,15,,,1,,Wild,,,,,1,Winter 1997/8,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,562,,,1.812903226,,,620,,,,,,,15,0,15,,,0,,Wild,,,,,1,Winter 1997/8,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,732,,,2.361290323,,,240,,,,,,,63,51,63,,,0.8095238095,,Wild,,,,,2,Winter 1998/9,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,679,,,2.190322581,,,620,,,,,,,63,12,63,,,0.1904761905,,Wild,,,,,2,Winter 1998/9,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,490,,,1.580645161,,,240,,,,,,,52,49,52,,,0.9423076923,,Wild,,,,,3,Winter 1999/2000,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,704,,,2.270967742,,,620,,,,,,,52,3,52,,,0.05769230769,,Wild,,,,,3,Winter 1999/2000,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,691,,,2.229032258,,,240,,,,,,,73,71,73,,,0.9726027397,,Wild,,,,,4,Winter 2000/1,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,641,,,2.067741935,,,620,,,,,,,73,2,73,,,0.02739726027,,Wild,,,,,4,Winter 2000/1,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,495,,,1.596774194,,,240,,,,,,,91,75,91,,,0.8241758242,,Wild,,,,,5,Winter 2001/2,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,743,,,2.396774194,,,620,,,,,,,91,16,91,,,0.1758241758,,Wild,,,,,5,Winter 2001/2,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,389,,,1.25483871,,,240,,,,,,,75,61,75,,,0.8133333333,,Wild,,,,,6,Winter 2002/3,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,852,,,2.748387097,,,620,,,,,,,75,14,75,,,0.1866666667,,Wild,,,,,6,Winter 2002/3,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,233,,,0.7516129032,,,240,,,,,,,106,82,106,,,0.7735849057,,Wild,,,,,7,Winter 2003/4,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,947,,,3.05483871,,,620,,,,,,,106,24,106,,,0.2264150943,,Wild,,,,,7,Winter 2003/4,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,278,,,0.8967741935,,,240,,,,,,,94,61,94,,,0.6489361702,,Wild,,,,,8,Winter 2004/5,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,1005,,,3.241935484,,,620,,,,,,,94,33,94,,,0.3510638298,,Wild,,,,,8,Winter 2004/5,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Elk,Cervus elaphus,Cervus elaphus,223,,,0.7193548387,,,240,,,,,,,84,47,84,,,0.5595238095,,Wild,,,,,9,Winter 2005/6,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
,Becker 2008,Yellowstone National Park Madison Headwaters area,310,Bison,Bison bison,Bison bison,828,,,2.670967742,,,620,,,,,,,84,37,84,,,0.4404761905,,Wild,,,,,9,Winter 2005/6,SWI,D,,,,,,BER08YNP-M,YNP-M,2,POP
"Muskleg Lake pack (7 wolves) was the only pack with pack specific data but only their moose kills were reported and no moose/wolf or moose kg/wolf was reported for that year or moose abundance was reported in an extractable way. Funny enough, they were the only point in which the 5.5 kg moose/wolf/day and 0.12kg moose/kg wolf/day was reported. So couldn't do pack specific extraction because it would only be a single data point. Wolves were assumed to be an average of 46kg based on 5 wolves (2 adults 3 pups) poisoned and measured in the study area in 1980",Bjorge 1989,Simonette River,2000,Moose,Alces alces,Alces alces,,,,,,,481,,,,,,,61,39,,,,,,Wild,,,,,,1976-1981,MWI,,,,,,,BJE89SNR,SNR,,POP
elk adults made up 35% of elk kills and 65% of the elk pop,Bjorge 1989,Simonette River,2000,Elk,Cervus elaphus,Cervus elaphus,,,,,,,240,,,,,,,61,17,,,,,,Wild,,,,,,1976-1981,MWI,,,,,,,BJE89SNR,SNR,,POP
"one fawn, one buck, one unknown adult",Bjorge 1989,Simonette River,2000,White tailed deer,Odocoileus virginianus,Odocoileus virginianus,,,,,,,75,,,,,,,61,3,,,,,,Wild,,,,,,1976-1981,MWI,,,,,,,BJE89SNR,SNR,,POP
one fawn one buck,Bjorge 1989,Simonette River,2000,Mule deer,Odocoileus hemionus,Odocoileus hemionus,,,,,,,83.8,,,,,,,61,2,,,,,,Wild,,,,,,1976-1981,MWI,,,,,,,BJE89SNR,SNR,,POP
"Number individuals are the numbers counter from aerial surveys (they also don't have a study area size or survey area size). Density for the two species taken at different times (Elk = January 1991, Deer = late apr/early march 1991)",Boyd 1994,North Fork Flathead River Glacier National Park,not given ,Elk,Cervus elaphus,Cervus elaphus,369,,,,,,240,,,,,,,243,68,205,0.2798353909,,0.3317073171,,Wild,,,Elk prefered the open areas but used more dense habitat over the years,,1,1985-1991 Winter (Nov-Apr),MWI,P-1-6,AS,SWI,1,KM,6,BOD94NFF,NFF,2,POP
"Density for the two species taken at different times (Elk = January 1991, Deer = late apr/early march 1991)",Boyd 1994,North Fork Flathead River Glacier National Park,not given ,White-tailed deer,Odocoileus virginianus,Odocoileus virginianus,1296,,,,,,75,,,,,,,243,137,205,0.5637860082,,0.6682926829,,Wild,,,WT deer prefered closed habitats but may be pushed out by large groups of elk,,1,1985-1991 Winter (Nov-Apr),MWI,P-1-6,AS,SWI,1,KM,6,BOD94NFF,NFF,2,POP
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,Elk,Cervus elaphus,Cervus elaphus,372,,,1.388059701,,,240,,,,,,,14,8,14,0.5714285714,,0.5714285714,57.14285714,Wild,,,,,1,1978 Winter (1 Jan-4 Apr 1978),SWI,A,AS + GS,SWI,1,AWT-G,1,CAN83RDM-A,RDM-A,3,PT
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,Moose,Alces alces,Alces alces,164,,,0.6119402985,,,481,,,,,,,14,0,14,0,,0,0,Wild,,,,,1,1978 Winter (1 Jan-4 Apr 1978),SWI,A,AS,SWI,1,AWT-G,1,CAN83RDM-A,RDM-A,3,PT
Audy lake pack,Carbyn 1983,Riding mountain Audy lake,268,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,120,,,0.447761194,,,75,,,,,,,14,6,14,0.4285714286,,0.4285714286,42.85714286,Wild,,,,,1,1978 Winter (1 Jan-4 Apr 1978),SWI,A,GS,SWI,1,AWT-G,1,CAN83RDM-A,RDM-A,3,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Elk,Cervus elaphus,Cervus elaphus,688,,,2.372413793,,,240,,,,,,,23,21,23,0.9130434783,,0.9130434783,91.30434783,Wild,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,AS + GS,SWI,1,KM,1,CAN83RDM-B,RDM-B,3,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,Moose,Alces alces,Alces alces,272,,,0.9379310345,,,481,,,,,,,23,2,23,0.08695652174,,0.08695652174,8.695652174,Wild,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,AS,SWI,1,KM,1,CAN83RDM-B,RDM-B,3,PT
"Baldy lake pack scat and carcass data. Carcass data is for whole period, scat data is only for 19 days near end of period (but no discrimination between when the scat was deposited so RB considered it to be winter. BM equiv is for scat data (not entirely sure what it means)",Carbyn 1983,Riding mountain Baldy lake,290,White-tailed deer,Odocoileus virginianus ,Odocoileus virginianus,45,,,0.1551724138,,,75,,,,,,,23,0,23,0,,0,0,Wild,,,,,1,1978-1979 Winters (Oct 1978- May 1979),SWI,A,GS,SWI,1,KM,1,CAN83RDM-B,RDM-B,3,PT
,Jędrzejewski 2012,2.  Rominta Forest,170,Moose,Alces alces,Alces alces,,,0.05,,,,481,,,,0,,,49,,,,,,,Wild,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Red deer,Cervus elaphus,Cervus elaphus,,,0.37,,,,240,,,,0.086,,,49,,,,,,,Wild,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.3,,,,22.4,,,,0.275,,,49,,,,,,,Wild,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Wild boar,Sus scrofa,Sus scrofa,,,0.28,,,,84.5,,,,0.105,,,49,,,,,,,Wild,,,,,,1999-2004,,,,,,,,JEI12RMF,RMF,4,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Moose,Alces alces,Alces alces,,,0.003,,,,481,,,,0,,,18,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,,,0.348,,,,240,,,,0.062,,,18,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.532,,,,22.4,,,,0.604,,,18,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Wild boar,Sus scrofa,Sus scrofa,,,0.117,,,,84.5,,,,0.068,,,18,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12PZF,PZF,4,POP
prop individuals was reported as <0.001,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Moose,Alces alces,Alces alces,,,0.0009,,,,481,,,,0,,,46,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Red deer,Cervus elaphus,Cervus elaphus,,,0.269,,,,240,,,,0.013,,,46,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.553,,,,22.4,,,,0.38,,,46,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,POP
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Wild boar,Sus scrofa,Sus scrofa,,,0.178,,,,84.5,,,,0.094,,,46,,,,,,,Wild,,,,,,1998-2003,,,,,,,,JEI12NRF,NRF,4,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Moose,Alces alces,Alces alces,,,,,,,481,,,,0,,,341,,,,,,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,,,,,,,240,,,,0.3021045576,,,341,,,,,,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,,,,,,,22.4,,,,0.2372734584,,,341,,,,,,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,POP
,Jędrzejewski 2012,5.  Augustów Forest,1350,Wild boar,Sus scrofa,Sus scrofa,,,,,,,84.5,,,,0.1405013405,,,341,,,,,,,Wild,,,,,,2000-2006,,,,,,,,JEI12AGF,AGF,4,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Moose,Alces alces,Alces alces,,,0.235,,,,481,,,,0.148,,,35,,,,,,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Red deer,Cervus elaphus,Cervus elaphus,,,0.203,,,,240,,,,0.102,,,35,,,,,,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Roe deer,Capreolus capreolus,Capreolus capreolus,,,0.375,,,,22.4,,,,0.419,,,35,,,,,,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,POP
,Jędrzejewski 2012,6. Biebrza National Park,640,Wild boar,Sus scrofa,Sus scrofa,,,0.187,,,,84.5,,,,0,,,35,,,,,,,Wild,,,,,,2001-2004,,,,,,,,JEI12BNP,BNP,4,POP
