Notes,Paper_ID,Study_Area,Area ,Prey_Item,Prey_Taxa,Prey_Taxa_Valid,Period,Num_Ind,Ratio_Ind_Avail,Prop_Ind_Avail,Density,Avg_Mass_kg,Mass_Details,Pantheria_kg,Orig_BM_Avail,Orig_Prop_BM_Avail,Orig_BM_Consumed,Orig_Prop_BM_Consumed ,Err_Prop_BM_Consumed,BM_Equiv,n_Kills_Tot,n_Kills_Prey,n_Kill_Anal,Prop_Kills,Ratio_Kills,Prop_Kills_Anal,Perc_Kills_Anal,Livestock_Wild,Fight_Flight_Guarded,Vulnerable_Score,Prey_Notes,Pack_Name,n_Packs,n_Wolves,Avg_Wolf_Density,Range_Wolf_Density,Avg_Pack_Size,Range_Pack_Size,Timepoint,A_C_Code,Avail_Code,Avail_Season,n_Avail_Points,Cons_Code,Cons_Season,n_Cons_Points,Study_Code,Area_Code,n_Prey_Species,Pop_Scale
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Winter 1989-1990,39,,,0.2659090849,59.20512821,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,79.4,,,,,,,18,2,,,,,,Wild,,,"Includes both white-tailed and mule deer. High habitat overlap with wolves. Individual encounter rate of 0.20 (second highest of any prey) and group encounter of 0.48 (highest of any prey). Mean herd size of 2.5. Mean herd size of 2.5. Southern half of Bow Valley is an important wintering area for mule deer and white tailed deer. May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",Baker,1,8-9,,,,8-9,,D,PC,SWI,1,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Moose,Alces alces,Alces alces,Winter 1989-1990,8,,,0.05454545331,310.625,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,481,,,,,,,18,1,,,,,,Wild,,,"Individual encounter rate of 0.03 (second lowest of any prey) and group encounter of 0.08. Mean herd size of 2. ""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",Baker,1,8-9,,,,8-9,,D,PC,SWI,1,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Bighorn sheep,Ovis canadensis,Ovis canadensis,Winter 1989-1990,79,,,0.5386363514,77.50632911,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,74.6,,,,,,,18,4,,,,,,Wild,,,Low habitat overlap with wolves. Individual encounter rate of 0.05 (second lowest of any prey) and group encounter of 0.03 (second lowest of any prey). Mean herd size of 8.3. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,Baker,1,8-9,,,,8-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220 (whole SA),Mountain goat,Oreamnos americanus,Oreamnos americanus,Winter 1989-1990,30,,,0.2045454499,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter,71.3,,,,,,,18,1,,,,,,Wild,,,Low habitat overlap with wolves. Individual encounter rate of <0.01 ( lowest of any prey) and group encounter of <0.01 (lowest of any prey). Mean herd size of 5. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,Baker,1,8-9,,,,8-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,PT
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Elk,Cervus elaphus,Cervus elaphus,Winter 1989-1990,405,,,1.840909091,225.8660418,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Averaged between values for each wolf pack,240,,,,,,,52,34,,,,,,Wild,,,"High habitat overlap with wolves. herd size of 10.3. Southern half of Bow Valley is an important wintering area for elk. ""rarely defend themselves actively (Carbyn 1974), but frequently seek refuge in deep water"". May be more detectable to wolves since they are larger, in larger herds, and more frequently occupy more open areas. Flee from wolves.",Spray and Baker,2,13-17,,0.0590909-0.0772727,,5-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Deer,Odocoileus hemionus and Odocoileus virginianus,Odocoileus hemionus and Odocoileus virginianus,Winter 1989-1990,124,,,0.5636363636,59.5907994,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Averaged between values for each wolf pack,79.4,,,,,,,52,9,,,,,,Wild,,,"Includes both white-tailed and mule deer. High habitat overlap with wolves. herd size of 2.5. Mean herd size of 2.5. Southern half of Bow Valley is an important wintering area for mule deer and white tailed deer. May be less detectable to wolves than elk since they are smaller, in smaller herds, and more frequently occupy more wooded and less open areas . Flee from wolves.",Spray and Baker,2,13-17,,0.0590909-0.0772727,,5-9,,D,PC,SWI,1,SNOW,MWI,1,HUD93BVB,BVB,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Moose,Alces alces,Alces alces,Winter 1989-1990,22,,,0.1,293.6339286,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Averaged between values for each wolf pack,481,,,,,,,52,2,,,,,,Wild,,,"Herd size of 2. ""However, known prey defensive behaviour suggests that moose are the only species in the BNP system that pose a substantial danger. Moose often defend themselves against wolves by means of foreleg kicks"". Do not always flee",Spray and Baker,2,13-17,,0.0590909-0.0772727,,5-9,,D,PC,SWI,1,SNOW,MWI,1,HUD93BVB,BVB,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Bighorn sheep,Ovis canadensis,Ovis canadensis,Winter 1989-1990,224,,,1.018181818,77.50144042,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Averaged between values for each wolf pack,74.6,,,,,,,52,6,,,,,,Wild,,,Low habitat overlap with wolves. Herd size of 8.3. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,Spray and Baker,2,13-17,,0.0590909-0.0772727,,5-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,POP
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),220,Mountain goat,Oreamnos americanus,Oreamnos americanus,Winter 1989-1990,81,,,0.3681818182,70,Calculated for from the authors biomass estimates (no mass values were reported) they used different masses for summer and winter. Averaged between values for each wolf pack,71.3,,,,,,,52,1,,,,,,Wild,,,Low habitat overlap with wolves. Herd size of 5. Often at higher elevations than wolves typically visit. Escape on to difficult terrain.,Spray and Baker,2,13-17,,0.0590909-0.0772727,,5-9,,U,AS,WI,U,SNOW,MWI,1,HUD93BVB,BVB,,POP
,Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,European bison,Bison bonasus,Bison bonasus,1985-1996,,,0.037,,,,673,,,,,,,649,1,,0.002,,,,Wild,,,"protected species, population kept stable by yearly culling ",,,,0.02310344828,,,,,P-10-11,DC,MWI,10,MIZ,MYR,11,JEI00BPF,BPF,5,POP
,Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Moose,Alces alces,Alces alces,1985-1996,,,0.013,,,,481,,,,,,,649,4,,0.006,,,,Wild,,,hunted in exploited BPF. 3-4 times heavier than the average prey item in BPF,,,,0.02310344828,,,,,P-10-11,DC,MWI,10,MIZ,MYR,11,JEI00BPF,BPF,5,POP
,Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Red deer,Cervus elaphus,Cervus elaphus,1985-1996,,,0.385,,,,240,,,,,,,649,445,,0.686,,,,Wild,,,hunted in exploited BPF,,,,0.02310344828,,,,,P-10-11,DC,MWI,10,MIZ,MYR,11,JEI00BPF,BPF,5,POP
,Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Roe deer,Capreolus capreolus,Capreolus capreolus,1985-1996,,,0.317,,,,22.4,,,,,,,649,111,,0.171,,,,Wild,,,"hunted in exploited BPF, smallest ungulate in BPF. ""always captured less often than expected from its prevalence in ungulate community. Very small groups and a secretive and elusive style of life in forests (Jedrzejewska and Jedrzejewski 1998) make roe deer a difficult prey for wolves.""",,,,0.02310344828,,,,,P-10-11,DC,MWI,10,MIZ,MYR,11,JEI00BPF,BPF,5,POP
,Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Wild boar,Sus scrofa,Sus scrofa,1985-1996,,,0.248,,,,84.5,,,,,,,649,88,,0.135,,,,Wild,,,hunted in exploited BPF,,,,0.02310344828,,,,,P-10-11,DC,MWI,10,MIZ,MYR,11,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Moose,Alces alces,Alces alces,1991-1992 (March-February),,,,0.445,,,481,,,,,,,,12,,0.012,,,,Wild,,,hunted in exploited BPF,,,,0.03275862069,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Red deer,Cervus elaphus,Cervus elaphus,1991-1992 (March-February),,,,7.325,,,240,,,,,,,,609,,0.661,,,,Wild,,,hunted in exploited BPF,,,,0.03275862069,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Roe deer,Capreolus capreolus,Capreolus capreolus,1991-1992 (March-February),,,,6.56,,,22.4,,,,,,,,145,,0.154,,,,Wild,,,hunted in exploited BPF,,,,0.03275862069,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Wild boar,Sus scrofa,Sus scrofa,1991-1992 (March-February),,,,5.68,,,84.5,,,,,,,,162,,0.173,,,,Wild,,,hunted in exploited BPF,,,,0.03275862069,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Moose,Alces alces,Alces alces,1992-1993 (March-February),,,,0.145,,,481,,,,,,,,0,,0,,,,Wild,,,hunted in exploited BPF,,,,0.02068965517,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Red deer,Cervus elaphus,Cervus elaphus,1992-1993 (March-February),,,,4.985,,,240,,,,,,,,452,,0.667,,,,Wild,,,hunted in exploited BPF,,,,0.02068965517,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Roe deer,Capreolus capreolus,Capreolus capreolus,1992-1993 (March-February),,,,5.635,,,22.4,,,,,,,,122,,0.176,,,,Wild,,,hunted in exploited BPF,,,,0.02068965517,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Wild boar,Sus scrofa,Sus scrofa,1992-1993 (March-February),,,,3.075,,,84.5,,,,,,,,110,,0.157,,,,Wild,,,hunted in exploited BPF,,,,0.02068965517,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Moose,Alces alces,Alces alces,1993-1994 (March-February),,,,0.175,,,481,,,,,,,,6,,0.007,,,,Wild,,,hunted in exploited BPF,,,,0.02068965517,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Red deer,Cervus elaphus,Cervus elaphus,1993-1994 (March-February),,,,4.365,,,240,,,,,,,,331,,0.486,,,,Wild,,,hunted in exploited BPF,,,,0.02068965517,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Roe deer,Capreolus capreolus,Capreolus capreolus,1993-1994 (March-February),,,,3.945,,,22.4,,,,,,,,122,,0.182,,,,Wild,,,hunted in exploited BPF,,,,0.02068965517,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Wild boar,Sus scrofa,Sus scrofa,1993-1994 (March-February),,,,4.535,,,84.5,,,,,,,,220,,0.325,,,,Wild,,,hunted in exploited BPF,,,,0.02068965517,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Moose,Alces alces,Alces alces,1995-1996 (March-February),,,,0.03,,,481,,,,,,,,6,,0.008,,,,Wild,,,hunted in exploited BPF,,,,0.02586206897,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Red deer,Cervus elaphus,Cervus elaphus,1995-1996 (March-February),,,,5.61,,,240,,,,,,,,360,,0.526,,,,Wild,,,hunted in exploited BPF,,,,0.02586206897,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Roe deer,Capreolus capreolus,Capreolus capreolus,1995-1996 (March-February),,,,4.205,,,22.4,,,,,,,,110,,0.159,,,,Wild,,,hunted in exploited BPF,,,,0.02586206897,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Wild boar,Sus scrofa,Sus scrofa,1995-1996 (March-February),,,,3.31,,,84.5,,,,,,,,209,,0.307,,,,Wild,,,hunted in exploited BPF,,,,0.02586206897,,,,,B,DC+MTRX,SSP+SWI,2,T + SNOW,SYR,1,JEI00BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Red deer,Cervus elaphus,Cervus elaphus,1997-1998,,,,3.63,,,240,,,,,,,,331,,,,,,,,,,,,,,,,,,B,DC+MTRX,SSP+SWI,2,PF + SNOW,SYR,1,JEI02BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Roe deer,Capreolus capreolus,Capreolus capreolus,1997-1998,,,,1.72,,,22.4,,,,,,,,29,,,,,,,,,,,,,,,,,,B,DC+MTRX,SSP+SWI,2,PF + SNOW,SYR,1,JEI02BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Wild boar,Sus scrofa,Sus scrofa,1997-1998,,,,3.515,,,84.5,,,,,,,,220,,,,,,,,,,,,,,,,,,B,DC+MTRX,SSP+SWI,2,PF + SNOW,SYR,1,JEI02BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Red deer,Cervus elaphus,Cervus elaphus,1998-1999,,,,3.77,,,240,,,,,,,,418,,,,,,,,,,,,,,,,,,B,DC+MTRX,SSP+SWI,2,PF + SNOW,SYR,1,JEI02BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Roe deer,Capreolus capreolus,Capreolus capreolus,1998-1999,,,,2.475,,,22.4,,,,,,,,23,,,,,,,,,,,,,,,,,,B,DC+MTRX,SSP+SWI,2,PF + SNOW,SYR,1,JEI02BPF,BPF,5,POP
n Kills prey' data is an extrapolation by the author for the the whole study area and not the actual number of carcasses (see Critical appraisal sheet). Density was calculated as the mean between the Density in march (winter) and May (spring (post birth)),Jędrzejewski 2000,Białowieża Primeval Forest (BPF),580,Wild boar,Sus scrofa,Sus scrofa,1998-1999,,,,5.215,,,84.5,,,,,,,,151,,,,,,,,,,,,,,,,,,B,DC+MTRX,SSP+SWI,2,PF + SNOW,SYR,1,JEI02BPF,BPF,5,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Moose,Alces alces,Alces alces,1999-2004,,,0.05,,>80,Median body mass of moose killed by wolves,481,,,,,,,49,,,0,,,,Wild,,,Large cervid,,,,0.009,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12RMF,RMF,4,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Red deer,Cervus elaphus,Cervus elaphus,1999-2004,,,0.37,,62.5,Median body mass of red deer killed by wolves,240,,,,,,,49,,,0.35,,,,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",,,,0.009,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12RMF,RMF,4,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Roe deer,Capreolus capreolus,Capreolus capreolus,1999-2004,,,0.3,,20,Median body mass of roe deer killed by wolves,22.4,,,,,,,49,,,0.43,,,,Wild,,,,,,,0.009,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12RMF,RMF,4,POP
,Jędrzejewski 2012,2.  Rominta Forest,170,Wild boar,Sus scrofa,Sus scrofa,1999-2004,,,0.28,,12.5,Median body mass of wild boar killed by wolves,84.5,,,,,,,49,,,0.22,,,,Wild,,,,,,,0.009,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12RMF,RMF,4,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Moose,Alces alces,Alces alces,1998-2003,,,0.003,,>80,Median body mass of moose killed by wolves,481,,,,,,,18,,,0,,,,Wild,,,Large cervid,,,,0.01,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12PZF,PZF,4,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Red deer,Cervus elaphus,Cervus elaphus,1998-2003,,,0.348,,62.5,Median body mass of red deer killed by wolves,240,,,,,,,18,,,0.33,,,,Wild,,,"""red deer was shown to be the optimal size prey for typical central European packs of 4–6 wolves (Jedrzejewski et al. 2002)"". Large cervid",,,,0.01,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12PZF,PZF,4,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Roe deer,Capreolus capreolus,Capreolus capreolus,1998-2003,,,0.532,,20,Median body mass of roe deer killed by wolves,22.4,,,,,,,18,,,0.67,,,,Wild,,,,,,,0.01,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12PZF,PZF,4,POP
,Jędrzejewski 2012,3.  Pisz Forest,1350,Wild boar,Sus scrofa,Sus scrofa,1998-2003,,,0.117,,12.5,Median body mass of wild boar killed by wolves,84.5,,,,,,,18,,,0,,,,Wild,,,,,,,0.01,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12PZF,PZF,4,POP
prop individuals was reported as <0.001,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,1940,Moose,Alces alces,Alces alces,1998-2003,,,0.0009,,>80,Median body mass of moose killed by wolves,481,,,,,,,46,,,0,,,,Wild,,,Large cervid,,,,0.01,,,,,U,MIX,U,U,SNOW + T,MYR,6,JEI12NRF,NRF,4,POP
