Notes,Paper_ID,Study_Area,Area_Code,Study_Code,Center_Long,Center_Lat,Coor_Given,Study_Start,Study_End,Study_Region,Study Country,Eco_Code_Olson,Realm_Olson,Biome_Olson,Bioregion_Olson,Suprarealm_OneEarth,Realm_OneEarth,Subrealm_OneEarth,Bioregion_OneEarth,Protected_Area,Avg_Temp_Ann,Avg_Temp_Min,Avg_Temp_Max,Avg_Precipitation,Avg_Rainfall,Avg_Snow,Snow_Period,Elev_Min,Elev_Max,Elev_Range,Area ,Range_Wolf_Dens,Avg_Wolf_Dens,n_Wolves,n_Packs,Range_Pack_Size,Avg_Pack_Size,Wolf_Notes,Livestock_Notes,Wild_Ung_Avail_n,Wild_Ung_Avail_Name,Beaver_Avail,Ecoregion_OneEarth,Paper_Pred_Tot_n,Pred_Larger_n,Pred_Larger_Name,Pred_Smaller_n,Pred_Smaller_Name,OE_Pred_Tot_n,OE_Pred_Larger_n,OE_Pred_Larger_Name,OE_Pred_Smaller_n,OE_Pred_Smaller_Name,HFI,Productivity
"Has % of area of different cover types (shrub, deciduous, pasture, mixed forest, etc). Given that 3 scats were geneticlaly ID'd to red fox, they must be present in at least one study area.",Guimarães 2022,Vepor Mountains,VPM,GUS22VPM,19.72421,48.63639,"N48˚38’, E19˚44’",2015,2017,Carpathian Mountains,Slovakia,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,no - exploited for agriculture and forestry,7,-3,18,,1112,> 20 (over 44.7% of area),,338,1322,338-1322,225,NR,NR,NR,NR,NR,NR,"Generalist-opportunistic predator, diverse and adaptable feeding strategies. Carpatian mountains are one of the largest wolf refuge areas in europe. Heavy persecution until 1975, still hunted until it became legally protected in 2021. Evidence of resident packs, but no reliable estimate of wolf density or pack data.","Extensive grazing by highly abundant sheep, cattle, and goat",3,"Red deer, Roe deer, Wild boar",No,692,2,1,Brown bear (Ursus arctos),1,Eurasian lynx (Lynx lynx),,,,,,,
"Has % of area of different cover types (shrub, deciduous, pasture, mixed forest, etc). Given that 3 scats were geneticlaly ID'd to red fox, they must be present in at least one study area. ",Guimarães 2022,Muráň Plateau National Park (Muráň Plateau NP),MRP,GUS22MRP,19.99116,48.7369,"N48˚45’, E20˚0’",2015,2017,Carpathian Mountains,Slovakia,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,yes - restricted agriculture and forestry activities,6.7,-3.7,17.5,,965,> 20 (over 48% of area),,335,1439,335-1439,600,NR,NR,NR,NR,NR,NR,"Generalist-opportunistic predator, diverse and adaptable feeding strategies. Carpatian mountains are one of the largest wolf refuge areas in europe. Heavy persecution until 1975, still hunted until it became legally protected in 2021. Evidence of resident packs, but no reliable estimate of wolf density or pack data.","Extensive grazing by highly abundant sheep, cattle, and goat",3,"Red deer, Roe deer, Wild boar",Yes - occasional,692,2,1,Brown bear (Ursus arctos),1,Eurasian lynx (Lynx lynx),,,,,,,
"Has % of area of different cover types (shrub, deciduous, pasture, mixed forest, etc). Given that 3 scats were geneticlaly ID'd to red fox, they must be present in at least one study area.",Guimarães 2022,Poloniny National Park (Poloniny NP),PNP,GUS22PNP,22.27232,49.07672,"N49˚06’, E 22˚17'",2015,2017,Carpathian Mountains,Slovakia,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,yes - minimal agriculture and forestry activities,7,-3.4,18,,725,> 20 (over 42.2% of area),,338,1150,338-1150,125,NR,NR,NR,NR,NR,NR,"Generalist-opportunistic predator, diverse and adaptable feeding strategies. Carpatian mountains are one of the largest wolf refuge areas in europe. Heavy persecution until 1975, still hunted until it became legally protected in 2021. Evidence of resident packs, but no reliable estimate of wolf density or pack data.",Restricted agricultural activities but cattle sheep and goats still abundant and grazing. lowest livestock densities of the four areas,4,"Red deer, Roe deer, Wild boar, European bison (Bison bonasus)",Yes - steady,692,2,1,Brown bear (Ursus arctos),1,Eurasian lynx (Lynx lynx),,,,,,,
"area is 23000 but 17250 moose habitable. Predator present taken from Farnell and MacDonald 1988 (the caribou data source) and Larsen adn Ward 1995 (the moose data source). snow depth was recorded but not reported. Small numbers of Dall sheep, mountain goat and mule deer in study area, beaver present (from Hayes and Harestad 2000a). Much of the wolf pack details from  Hayes and Harestad 2000a. ",Hayes 2000,Finlayson Lake,FLL,HAS00FLL,-130.23688,61.68409,"62°N, 128°W (not center)",1990,1994,Yukon,Canada,NA0613,NA,6,NA06,NA,SUA,CBF,NA6,No - hunting allowed,NR,NR,NR,400-750,NR,NR,NR,NR,NR,NR,23000,0.0026956522-0.0094782609,0.0065391304,62-218,21,2-20,6.3111,"21 wolf packs studied over 4 winters, ranging from 2-20 wolves per pack. see apendix table 2A for details. Number of wolf packs in area was 14 in 1990 and 24 in 1994. See 'Predation rate by wolves on moose' for number of moose killed by different pack sizes. Wolves were reduced in the area during the 1980s, wolf pop increased rapidly during study. Mean pack sized ranged from 4.4 in 1990 to 7.8 in 1994 (Hayes and Harestad 2000a). In whole study area there were 62 wolves in 1990, 116 in 1991, 168 in 1992, 188 in 1993, and 218 in 1994  (Hayes and Harestad 2000a).",No mention,5,"Moose (Alces alces), Woodland caribou (Rangifer tarandus caribou), Dall's Sheep (Ovis dalli dalli), Mountain goat (Oreamnus americanus), Mule deer (Odocoileus hemionus)",Yes,383,6,2,"Brown bear (Ursus arctos), Black bear (Ursus americanus)",4,"Coyote (Canis latrans), fox (Vulpes vulpes), lynx (Lynx lynx), wolverine (Gulo gulo)",,,,,,,
,Hebblewhite 2003,Bow Valley of Banff National Park (Bow Valley BNP),BVB,HEE03BVB,-115.76125,51.33687,None given ,1986,2000,Alberta,Canada,NA0501,NA,5,NA05,NA,NOA,AMW,NA13,,,,,,,,,,,,3000,,,,,,,,,,,,361,,,,,,,,,,,,
,Hosseini-Zavarei 2013,Ghamishlou,GHA,HOI13GHA,51.24568,32.85611,"33°02′ 32°43′N, 50°52′ 51°28′E",2007,2009,West central Iran,Iran,PA0446,PA,4,PA04,PA,CEE,PDF,PA27,300 km^2 is protected and it is illegal to graze cattle there,11.5,,,188,,,,1700,2700,1700-2700,1130,NR,NR,NR,NR,NR,NR,Population experiences heavy illegal persecution largely as a result of livestock depredation,,3,"Esfahan wild sheep (Ovis orientalis), Persian gazelle (Gazella subgutturosa), Persian wild goats (Capra aegagrus)",No,688,3,1,Stripped hyena (Hyaena hyaena),2,"Golden jackal (Canis aureus), common fox (Vulpes vulpes)",,,,,,,
,Hoy 2021,Isle Royale (IR),ILR,HOY21ILR,-88.88337,47.98855,,1959,2007,Lake Superior,USA,NA0416,NA,4,NA04,NA,NOA,NAF,NA11,,,,,,,,,,,,544,,,,,,,"Wolf abundance fluctuated between 12-50, mean pack size 8",,,,,344,,,,,,,,,,,,
For sheet 9 only,Hoy 2021,Yellowstone National Park-Northern Range,YNP-N,HOY21YNP-N,-110.40051,44.92527,,1998,2009,,USA,NA0528,NA,5,NA05,NA,NOA,AMW,NA13,,,,,,,,,,,,995,,,,,,,"Wolf abundance fluctuated between 40-106 wolves, mean pack size 10-11.",,,,,367,,,,,,,,,,,,
,Huggard 1993,Bow Valley of Banff National Park (Bow Valley BNP),BVB,HUD93BVB,-115.96621,51.28912,,1988,1990,Alberta,Canada,NA0501,NA,5,NA05,NA,NOA,AMW,NA13,NR,NR,NR,NR,NR,NR,67 (max),NR,NR,NR,NR,220,0.0590909-0.0772727,NR,13-16or17,2,5-8or9,NR,"""Two wolf packs inhabited the study area. The 'Spray' pack of 5 - 8 wolves used the southern third of the Bow Valley and adjacent valleys to the south and west. The 'Baker' pack of 8 or 9 wolves used the northern two-thirds and adjacent valleys to the north, east, and west""",,6,"elk (Cervus elaphus), mule deer (Odocoileus hemionus), white-tailed deer (Odocoileus virginianus), moose (Alces alces), Bighorn sheep (Ovis canadensis), Mountain goats (Oreamnos americanus)",NR,361,NR,NR,NR,NR,NR,,,,,,,
"does not list other predator, only know cougar because it was also a study animal. 23000 but 17250 moose habitable",Husseman 2003,Salmon River Mountains,SRM,HUN03SRM,-114.19136,45.14426,"46°N, 114°W",1999,2001,Idaho,USA,NA0528,NA,5,NA05,NA,NOA,AMW,NA13,No -  hunting allowed,NR,NR,NR,NR,NR,NR,"Oct-Apr, as late as May/June at higher elevations",NR,NR,NR,23000,NR,NR,unclear,2,7-11,NR,"Two wolf packs were monitored via aerial and ground-based telemetry. Wolf pack sizes ranged from 7–11 animals, with the exception of the winter of 2000, when one of the two packs was reduced to two individuals. During 2001, in addition to the resident wolf packs, we monitored 2 groups of dispersing wolves consisting of 1–2 animals from nearby and resident packs",No mention,4,"elk (Cervus elaphus), mule deer (Odocoileus hemionus), small number of bighorn sheep (Ovis canadensis) and mountain goats (Oreamnos americana) ",NR,367,just cougars?,NR,NR,NR,NR,,,,,,,
"""Altitude ranges from 0 to 2153 m a.s.l.; 36% of the area is between 0 and 400 m a.s.l., 35% between 400 and 800 m, 21% between 800 and 1200 m, and 8.5% more than 1200 m a.s.l.""",Imbert 2016,Liguria Region,LGR,IMT16LGR,8.70638,44.26849,"44°30′16″, 8°24′10″",2008,2013,Italy,Italy,PA1211,PA,12,PA12,PA,WEE,MED,PA19,,,-2,35,"750-1250 in west, 1350-1850 in central and east",,100 in mountains,Nov-April in mountains,0,2153,0-2153,5343,,,58,5,,4.2,"Wolves declined down to 100 individuals across two subpopulations. Then started to recover in the 80's. ""Now the wolf is present in the four provinces with a minimum population of 58 individuals of which 21 distributed in 5 packs and 37 lone wolves, estimated by genetic analyses""","""Livestock (15,000 cows and 33,900 sheep and goats) are freegrazing on pastures from April to October but the grazing period can be expanded or reduced depending on the weather. Pastures are often partly composed of shrubs and woodlots. Only few shepherds adopt prevention methods (i.e. nocturnal recovery, guardian dogs, and electric fences) to deter wolf attacks""",6,"Wild boar (Sus scrofa), roe deer (Capreolus capreolus), fallow deer (Dama dama), chamois (Rupicapra rupicapra), red deer (Cervus elaphus) and mouflon (Ovis aries musimon) ",NR,795,,,,,,,,,,,,
"""small variety of potential prey, the almost total absence of competition from other predators"". Should the feral horse be considered wild? paper says they've been there since the pleistocene. They are considered semi-feral by management but this is heavily disputed.",Janeiro-Otero 2022,Serra do Cando,SCO,JAO22SCO,-8.37799,42.46408,,2017,2019,"Galicia, NW Spain",Spain,PA0406,PA,4,PA04,PA,WEE,GEM,PA10,"""Site of Community Importance and Special Conservation Area under the European Union’s Habitats Directive (92/43/EEC)""",13,3,23,NR,"""abundant""",Not given - likely none,Not given - likely none,NR,1000,"712 = average, 1000=max",54.58,NR,NR,NR,1 (studied)?,NR,NR,"Legally protected. Galicia is an important area for wolves, and they have persisted there at a steady population level for the past 200 years. In 2014 there was 84 packs or 2.8 packs per 1000 km2. They say that they only got scats from one wolf pack per area but no info on the specific wolf packs or how they not it was a single wolf pack was given.","Galician feral horses disputed wether they are feral/wild or just loosely domestic. ""The livestock density on agricultural land outside the forest is medium in comparison to the other two study areas""",3,"Galician feral horse (Equus ferus atlanticus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",NR,648,NR,NR,NR,NR,NR,,,,,,,
"""small variety of potential prey, the almost total absence of competition from other predators"".",Janeiro-Otero 2022,Serra do Candán,SCN,JAO22SCN,-8.23981,42.57278,,2017,2019,"Galicia, NW Spain",Spain,PA0406,PA,4,PA04,PA,WEE,GEM,PA10,"""Site of Community Importance and Special Conservation Area under the European Union’s Habitats Directive (92/43/EEC)""",NR,NR,NR,NR,"""abundant""",Not given - likely none,Not given - likely none,NR,1017,"750 = average, 1017=max",106.83,NR,NR,NR,1 (studied)?,NR,NR,"Legally protected. Galicia is an important area for wolves, and they have persisted there at a steady population level for the past 200 years. They say that they only got scats from one wolf pack per area but no info on the specific wolf packs or how they not it was a single wolf pack was given.","""The livestock density on agricultural land outside the forest is high""",2,"Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",NR,648,NR,NR,NR,NR,NR,,,,,,,
"""small variety of potential prey, the almost total absence of competition from other predators"". Should the feral horse be considered wild? paper says they've been there since the pleistocene. They are considered semi-feral by management but this is heavily disputed.",Janeiro-Otero 2022,Estacas,EST,JAO22EST,-8.42946,42.32745,,2017,2019,"Galicia, NW Spain",Spain,PA0406,PA,4,PA04,PA,WEE,GEM,PA10,No,NR,NR,NR,NR,"""abundant""",Not given - likely none,Not given - likely none,NR,1061,"712 = average, 1061=max",14.05,NR,NR,NR,1 (studied)?,NR,NR,"Legally protected. Galicia is an important area for wolves, and they have persisted there at a steady population level for the past 200 years. They say that they only got scats from one wolf pack per area but no info on the specific wolf packs or how they not it was a single wolf pack was given.","Galician feral horses disputed wether they are feral/wild or just loosely domestic. ""The livestock density on agricultural land outside the forest is low""",3,"Galician feral horse (Equus ferus atlanticus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",NR,648,NR,NR,NR,NR,NR,,,,,,,
"90.7% forested (in depth forest composition given). Nested within BPF. ""The climate of Białowieża is transitional between continental and Atlantic types, which makes it rather variable"". Brown bear extirpated from area? **European bison and moose were ""only occasionally recorded in BNP, so the census did not show their presence"" should they be included in 'ungulates_avail'? Poaching likely occurs to some extent",Jędrzejewska 1994,Białowieża National Park (BNP),BPF-N,JEA94BPF-N,23.87019,52.74584,,1986,1991,Białowieża,Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,"Strictly protected, no forestry harvest or hunting allowed since 1921. No motor transportation allowed in the park and tourist access is regulated and restricted to a few footpaths",NR,"Highly variable, mean Jan= -13.4-1.3",NR,NR,NR,Highly variable: 0-100,NR,,,90.7,47.5,NR,NR,15?,NR,NR,NR,"No hunting of wolves here since 1921. Hunted in Poland until 1989. ""45 wolves (three times the contemporary numbers) were recorded in the western (now Polish) part of BPF in 1935"" therefore ~15 wolves during the study period (but this might include BPF).",None,3 or 5**,"Roe deer (Capreolus capreolus), Red deer (Cervus elaphus), Wild boar (Sus scrofa), (available in general area but not recorded during censuses: European bison (Bison bonasus), Moose (Alces alces))",Unclear,654,1,0,(brown bear extirpated),1,Lynx (Lynx lynx),,,,,,,
"61% forested, also gives forest composition. Heavily exploted for timber since 1915. Forestry activities has changed the forest composition to being predaominantly more coniferous (area is naturally predominant in deciduous but coniferous is more economically valuable) ""Man-made changes in the forest structure (towards predominance of coniferous stands and young age classes) greatly impoverished the food supply for some species of ungulates."" Tall wire fence along border seperates the Polish and Belarusian parts of the forest, ungulates cannot cross the fence. Brown bear extirpated from area? hunting season is in winter",Jędrzejewska 1994,Exploited Białowieża Primeval Forest (BPF),BPF-E,JEA94BPF-E,23.72268,52.74589,,1986,1991,Białowieża,Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,"No - timber exploitation, replanting and game management",NR,"Highly variable, mean Jan= -13.4-1.3",NR,NR,NR,Highly variable: 0-100,NR,,,61,530,NR,NR,15?,NR,NR,NR,"Hunted in Poland until 1989. ""45 wolves (three times the contemporary numbers) were recorded in the western (now Polish) part of BPF in 1935"" therefore ~15 wolves during the study period (but this might include BNP)",No mention,5,"European bison (Bison bonasus), Moose (Alces alces), Roe deer (Capreolus capreolus), Red deer (Cervus elaphus), Wild boar (Sus scrofa)",Unclear,654,1,0,(brown bear extirpated),1,Lynx (Lynx lynx),,,,,,,
"""During our study, densities of ungulates were high but declining, and wolves were relatively undisturbed by humans (no legal hunting, occasional poaching—B. Je¸drzejewska et al. 1996)."" ""Further information on vegetation was given by Falinski (1986)."" Brown bear was extirpated in 19th century. Wire fence runs through BPF on the Polish-Belarusian border but wolf and lynx have been known to cross it in some places. Elevations from Jędrzejewski 2012.",Jędrzejewski 2000,Białowieża Primeval Forest (BPF),BPF,JEI00BPF,23.73520,52.74603,,1985,1996,Białowieża,Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,"47km^2 is strictly protected, expanded to 100km of protected area in 1996.",NR,NR,NR,NR,NR,NR,NR,135,202,135-202,580,0.01207-0.03276,0.023,7-19 (mean 13.4),2-4 (mean = 2.9),2-8,4.6,ranged from 7-19 wolves and 2-4 packs (See table 1 for detailed overview). Over last 150 year wolf density ranged from temporarily exterpated to very high. Harvested at low levels after 1970 then protected after 1989. In Belarussian part of BPF (not this study area) wolves are heavily hunted. Wire fence runs through BPF on the Polish-Belarusian border but wolf and lynx have been known to cross it in some places. Wolf numbers determined by snowtracking radio tracking and visual observation. Largest number of wolves in 1 group in 1 territory was used as the wolf pack size for a given season.,Only mentioned in diet breakdown,5,"European bison (Bison bonasus), moose (Alces alces), red deer (Cervus elaphus), roe deer (Capreolus capreolus), wild boar (Sus scrofa)",Yes,654,1,0,(brown bear extirpated),1,Lynx (Lynx lynx),,,,,,,
Elevations from Jędrzejewski 2012.,Jędrzejewski 2002,Białowieża Primeval Forest (BPF),BPF,JEI02BPF,23.73516,52.74624,,1996,1999,Białowieża,Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,"Based on Jędrzejewski 2000: 47km^2 is strictly protected, expanded to 100km of protected area in 1996.",,-3.9,19.1,622,,13-63 max,60-157 days (mean= 96),135,202,135-202,580,,,,2-4,,,"mean hunting group size was 4.4 wolves. During the past 150 yr, the wolf population ranged from temporary extermination due to predator control to very high densities (Jedrzejewska et al. 1996). In Belarussian part of BPF (not this study area) wolves are heavily hunted. Wire fence runs through BPF on the Polish-Belarusian border but wolf and lynx have been known to cross it in some places.  In 1990 home ranges were typically 100-300km^2 and wolf densities were 2-2.6 ind/100km^2. Radiotracked of 12 wolves from 4 packs. ""During the field work, tracks of wolves on snow and mud, cases of howling, and visual observations were recorded, and attempts were made to count the number of wolves in each pack and the number of wolves engaged in hunting and utilization of a kill""",Mentioned in diet,5,"European bison (Bison bonasus), moose (Alces alces), red deer (Cervus elaphus), roe deer (Capreolus capreolus), wild boar (Sus scrofa)",Yes,654,1,0,(brown bear extirpated),1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,1. Skaliskie Forest,SLF,JEI12SLF,22.06831,54.29135,,1999,2004,Northeastern Poland (Region 1),Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,6.4,-4.1,18,,648,,83 days,75,201,75-201,200,NR,0.009,2,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Yes,654,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,2.  Rominta Forest,RMF,JEI12RMF,22.52267,54.3227,,1999,2004,Northeastern Poland (Region 1),Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,6.4,-4.1,18,,648,,83 days,150,256,150-256,170,NR,0.009,2,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Yes,654,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,3.  Pisz Forest,PZF,JEI12PZF,21.51590,53.60403,,1998,2003,Northeastern Poland (Region 1),Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,5.8,-3,16.5,,627,,75 days,100,180,100-180,1350,NR,0.01,14,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Maybe?,654,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,4. Napiwoda-Ramuki Forest,NRF,JEI12NRF,20.73419,53.52351,,1998,2003,Northeastern Poland (Region 1),Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,6.2,-3.1,16.8,,583,,94 days,100,225,100-225,1940,NR,0.01,19,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Yes,654,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,5.  Augustów Forest,AGF,JEI12AGF,23.21137,53.93282,,2000,2006,Northeastern Poland (Region 1),Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,6.8,-4.2,18.1,,569,,90 days,100,167,100-167,1350,NR,0.024,32,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Yes,654,1,0,,1,Lynx (Lynx lynx),,,,,,,
Has extensive marshes,Jędrzejewski 2012,6. Biebrza National Park,BNP,JEI12BNP,22.76613,53.50889,,2001,2004,Northeastern Poland (Region 1),Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,6.8,-4.3,18.8,,609,,94 days,100,126,100-126,640,NR,0.02,13,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,4,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa)",Maybe?,654,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,7.  Knyszyn Forest,KSF,JEI12KSF,23.45429,53.21355,,2000,2002,Northeastern Poland (Region 1),Poland,PA0412,PA,4,PA04,PA,WEE,GEM,PA12,,6.9,-4,18.4,,592,,90 days,100,205,100-205,1500,NR,0.026,39,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,5,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Bison (Bison bonasus)",Yes,654,1,0,,1,Lynx (Lynx lynx),,,,,,,
,Jędrzejewski 2012,8.  Białowieża Forest,BPF,JEI12BPF,23.73858,52.74446,,1985,2000,Northeastern Poland (Region 1),Poland,PA0504,PA,5,PA05,PA,WEE,EMF,PA14,"47km^2 is strictly protected, expanded to 100km of protected area in 1996. From Jędrzejewski 2000",7.1,-4.3,18,,588,,83 days,135,202,135-202,600,NR,0.023,14,NR,NR,NR,"Average adult male= 46.4kg (SE = 0.86kg, range=35-67kg), average adult female = 39.3kg (SE=0.7kg, range=27-50kg), body mass data from wolves in the Carpathian mountains. Wolf abundance in Poland is far higher than in other European countries. Dominant large carnivore in Poland. Predators are all federally protected.",,5,"Moose (Alces alces), Red deer (Cervus elaphus), Roe deer (Capreolus capreolus), Wild boar (Sus scrofa), Bison (Bison bonasus)",Yes,654,1,0,,1,Lynx (Lynx lynx),,,,,,,
